Frame;TimeStamp;Value
623;24.906.148;-0.847
624;24.938.472;-0.847
625;24.981.688;-0.847
626;2.502.297;-0.847
627;2.506.642;-0.847
628;25.098.438;-0.847
629;25.141.196;-0.847
630;25.182.981;-0.847
631;25.226.225;-0.847
632;25.257.941;-0.847
633;25.300.517;-0.847
634;25.343.568;-0.847
635;25.385.751;-0.847
636;25.417.713;-0.847
637;254.615;-0.847
638;25.503.674;-0.847
639;25.546.348;-0.847
640;25.578.614;-0.847
641;25.620.268;-0.847
642;25.663.026;-0.847
643;25.706.462;-0.847
644;25.738.347;-0.847
645;25.781.321;-0.847
646;2.582.382;-0.847
647;25.865.635;-0.847
648;25.898.412;-0.847
649;25.940.431;-0.847
650;25.983.771;-0.847
651;26.025.449;-0.847
652;26.059.205;-0.847
653;26.101.681;-0.847
654;26.143.858;-0.847
655;26.186.145;-0.847
656;26.218.311;-0.847
657;26.260.489;-0.847
658;26.304.477;-0.847
659;26.345.834;-0.847
660;26.378.966;-0.847
661;26.421.259;-0.847
662;26.463.838;-0.847
663;26.505.556;-0.847
664;26.538.344;-0.847
665;26.580.847;-0.847
666;26.623.735;-0.847
667;26.665.706;-0.81
668;26.698.118;-0.75
669;26.740.866;-0.727
670;26.783.097;-0.703
671;26.826.413;-0.683
672;26.860.641;-0.652
673;26.900.981;-0.647
674;26.944.247;-0.645
675;26.986.492;-0.645
676;27.019.021;-0.645
677;2.706.057;-0.645
678;27.104.873;-0.648
679;27.145.836;-0.665
680;27.178.889;-0.707
681;27.221.273;-0.738
682;27.263.542;-0.772
683;27.305.617;-0.794
684;27.338.122;-0.8
685;27.381.289;-0.8
686;27.423.516;-0.8
687;27.465.557;-0.8
688;27.498.416;-0.778
689;27.541.221;-0.745
690;27.583.906;-0.688
691;27.626.665;-0.672
692;27.660.293;-0.65
693;2.770.084;-0.641
694;27.743.593;-0.639
695;27.786.391;-0.639
696;2.781.896;-0.639
697;27.865.688;-0.645
698;27.903.033;-0.661
699;27.946.562;-0.674
700;27.979.552;-0.69
701;28.020.171;-0.699
702;28.068.562;-0.705
703;28.105.658;-0.705
704;28.138.007;-0.705
705;28.181.574;-0.705
706;28.223.787;-0.705
707;28.265.751;-0.705
708;28.298.106;-0.705
709;283.416;-0.705
710;28.383.338;-0.705
711;28.425.427;-0.705
712;28.458.931;-0.705
713;2.850.122;-0.705
714;2.854.331;-0.705
715;28.586.598;-0.705
716;28.619.042;-0.705
717;28.661.086;-0.705
718;28.702.989;-0.705
719;28.746.087;-0.705
720;28.778.048;-0.705
721;28.820.441;-0.705
722;28.863.675;-0.705
723;28.905.812;-0.705
724;28.938.028;-0.705
725;28.980.693;-0.705
726;29.023.759;-0.705
727;29.067.176;-0.705
728;29.097.872;-0.705
729;29.140.759;-0.705
730;29.184.184;-0.705
731;29.226.471;-0.705
732;29.258.352;-0.705
733;29.300.931;-0.705
734;29.343.795;-0.705
735;29.386.075;-0.705
736;2.941.845;-0.705
737;29.461.452;-0.705
738;29.503.971;-0.705
739;29.546.212;-0.705
740;29.579.104;-0.705
741;29.621.546;-0.705
742;29.663.528;-0.705
743;29.705.603;-0.705
744;29.738.293;-0.705
745;29.781.212;-0.705
746;29.823.614;-0.705
747;29.866.395;-0.705
748;29.898.086;-0.705
749;29.941.003;-0.705
750;29.983.277;-0.705
751;30.025.973;-0.705
752;30.058.728;-0.705
753;30.101.226;-0.705
754;301.436;-0.705
755;30.185.789;-0.705
756;30.217.973;-0.705
757;30.261.287;-0.705
758;30.302.986;-0.705
759;30.345.726;-0.705
760;30.378.384;-0.705
761;30.421.072;-0.705
762;30.463.409;-0.705
763;30.505.765;-0.705
764;30.538.082;-0.705
765;30.581.877;-0.705
766;30.623.511;-0.705
767;30.666.169;-0.705
768;30.697.993;-0.705
769;30.741.076;-0.705
770;30.783.076;-0.705
771;30.826.757;-0.705
772;30.857.961;-0.705
773;30.900.886;-0.705
774;30.943.179;-0.705
775;30.985.688;-0.705
776;31.018.618;-0.705
777;31.064.698;-0.696
778;31.102.931;-0.685
779;31.146.421;-0.658
780;31.178.272;-0.512
781;31.221.069;-0.335
782;31.263.062;-0.17
783;31.305.805;0.078
784;3.133.792;0.214
785;31.381.329;0.254
786;31.424.361;0.256
787;31.465.889;0.274
788;31.497.899;0.291
789;31.540.671;0.291
790;31.582.853;0.291
791;31.626.576;0.291
792;31.658.542;0.291
793;31.701.761;0.291
794;31.743.115;0.289
795;3.178.777;0.265
796;31.817.526;0.225
797;31.862.986;0.112
798;31.903.105;0.065
799;31.946.843;-0.026
800;31.978.323;-0.132
801;32.021.607;-0.148
802;3.206.368;-0.148
803;32.106.103;-0.148
804;32.137.824;-0.143
805;32.183.009;-0.121
806;3.222.379;-0.093
807;32.268.575;-0.046
808;32.298.236;-0.035
809;32.340.677;-0.033
810;32.383.035;-0.033
811;32.427.009;-0.033
812;32.458.756;-0.033
813;32.500.966;-0.033
814;32.543.468;-0.033
815;32.586.657;-0.033
816;32.617.929;-0.033
817;32.661.503;-0.033
818;32.703.356;-0.033
819;32.745.933;-0.033
820;32.777.678;-0.033
821;32.820.291;-0.033
822;32.863.986;-0.033
823;32.906.256;-0.033
824;32.938.057;-0.033
825;329.812;-0.033
826;33.023.804;-0.033
827;33.065.645;-0.033
828;33.098.974;-0.033
829;33.141.418;-0.033
830;33.182.753;-0.033
831;33.225.719;-0.033
832;33.258.465;-0.033
833;33.300.603;-0.033
834;33.343.698;-0.033
835;33.385.874;-0.033
836;33.418.026;-0.033
837;33.460.942;-0.033
838;33.503.236;-0.033
839;33.546.126;-0.033
840;33.577.919;-0.033
841;33.620.243;-0.033
842;33.662.998;-0.033
843;33.706.174;-0.033
844;33.738.488;-0.033
845;33.782.031;-0.033
846;33.823.346;-0.033
847;33.866.113;-0.033
848;3.389.847;-0.033
849;33.940.693;-0.033
850;33.983.409;-0.033
851;34.025.557;-0.033
852;3.405.857;-0.033
853;34.101.276;-0.033
854;34.143.465;-0.033
855;34.185.627;-0.033
856;34.218.707;-0.033
857;34.260.794;-0.033
858;34.303.756;-0.033
859;34.345.504;-0.033
860;34.377.976;-0.033
861;34.421.486;-0.033
862;34.463.543;-0.033
863;34.505.482;-0.033
864;34.537.571;-0.033
