Frame;TimeStamp;Value
726;29.517495;-1
727;29.559674;-1
728;29.592181;-1
729;29.636953;-1
730;29.678473;-1
731;29.720027;-1
732;29.753019;-1
733;29.795307;-1
734;29.837117;-1
735;29.880422;-1
736;29.912839;-1
737;29.955481;-1
738;29.997509;-1
739;30.040187;-1
740;30.072334;-1
741;30.114954;-1
742;30.157177;-1
743;30.200722;-1
744;30.232044;-1
745;30.274785;-1
746;30.317047;-1
747;30.360648;-1
748;30.391827;-1
749;30.435246;-1
750;30.477144;-1
751;30.520432;-1
752;30.552539;-1
753;30.594802;-1
754;30.637909;-1
755;30.680822;-1
756;30.712351;-1
757;30.755599;-1
758;30.798918;-1
759;30.840603;-1
760;30.872631;-1
761;30.914459;-1
762;30.957559;-1
763;30.999659;-1
764;31.032324;-1
765;31.074852;-1
766;31.1179;-1
767;31.160528;-1
768;31.192537;-1
769;31.235173;-1
770;31.278195;-1
771;31.320548;-1
772;31.35227;-1
773;31.394989;-1
774;31.438716;-1
775;31.480021;-1
776;31.516151;-1
777;31.555323;-1
778;31.597029;-1
779;31.643631;-1
780;31.671847;-1
781;31.715407;-1
782;31.758153;-0.992
783;31.800455;-0.971
784;31.832191;-0.945
785;31.874475;-0.914
786;31.917478;-0.896
787;31.960093;-0.876
788;31.99261;-0.872
789;32.038275;-0.867
790;32.07761;-0.865
791;32.120319;-0.863
792;32.15177;-0.863
793;32.194744;-0.863
794;32.238301;-0.863
795;32.279821;-0.863
796;32.315944;-0.863
797;32.354525;-0.863
798;32.398064;-0.863
799;32.44011;-0.863
800;32.472772;-0.863
801;32.514379;-0.863
802;32.557957;-0.863
803;32.599695;-0.863
804;32.632466;-0.863
805;32.67556;-0.863
806;32.717674;-0.863
807;32.759863;-0.863
808;32.796257;-0.863
809;32.835961;-0.863
810;32.877726;-0.863
811;32.920986;-0.863
812;32.952704;-0.863
813;32.994816;-0.863
814;33.037473;-0.863
815;33.079468;-0.863
816;33.116433;-0.863
817;33.155473;-0.863
818;33.197045;-0.863
819;33.24075;-0.863
820;33.272504;-0.863
821;33.315474;-0.863
822;33.357216;-0.863
823;33.399473;-0.863
824;33.431867;-0.863
825;33.474464;-0.863
826;33.517725;-0.863
827;33.560004;-0.863
828;33.592648;-0.863
829;33.634514;-0.863
830;33.678194;-0.863
831;33.720254;-0.863
832;33.752163;-0.863
833;33.795184;-0.863
834;33.83852;-0.863
835;33.880354;-0.863
836;33.912687;-0.863
837;33.954732;-0.863
838;33.997413;-0.863
839;34.040354;-0.863
840;34.071969;-0.863
841;34.115217;-0.863
842;34.158209;-0.863
843;34.200652;-0.863
844;34.232762;-0.863
845;34.275003;-0.863
846;34.317146;-0.863
847;34.359676;-0.863
848;34.391741;-0.863
849;34.435824;-0.863
850;34.477671;-0.863
851;34.52065;-0.863
852;34.551916;-0.863
853;34.595175;-0.863
854;34.637094;-0.863
855;34.680006;-0.863
856;34.712227;-0.863
857;34.754864;-0.863
858;34.797552;-0.863
859;34.841661;-0.863
860;34.872409;-0.863
861;34.915681;-0.863
862;34.957523;-0.863
863;35.000623;-0.863
864;35.032978;-0.863
865;35.075767;-0.863
866;35.117137;-0.863
867;35.15977;-0.863
868;35.193465;-0.863
869;35.235734;-0.863
870;35.277876;-0.863
871;35.320515;-0.863
872;35.352121;-0.863
873;35.395174;-0.863
874;35.438108;-0.863
875;35.479923;-0.863
876;35.516026;-0.863
877;35.5549;-0.863
878;35.597037;-0.863
879;35.641394;-0.863
880;35.672094;-0.863
881;35.715377;-0.863
882;35.757172;-0.863
883;35.800359;-0.863
884;35.832717;-0.863
885;35.875536;-0.863
886;35.917902;-0.863
887;35.960283;-0.863
888;35.996346;-0.863
889;36.035044;-0.863
890;36.077884;-0.863
891;36.11959;-0.863
892;36.1518;-0.86
893;36.194282;-0.86
894;36.237545;-0.86
895;36.2801;-0.86
896;36.312447;-0.86
897;36.355193;-0.86
898;36.397194;-0.86
899;36.440148;-0.86
900;36.47461;-0.86
901;36.514748;-0.856
902;36.557819;-0.854
903;36.599875;-0.854
904;36.632501;-0.854
905;36.675334;-0.854
906;36.717761;-0.854
907;36.760249;-0.854
908;36.792678;-0.854
909;36.834728;-0.854
910;36.877787;-0.854
911;36.920444;-0.854
912;36.952376;-0.854
913;36.994812;-0.854
914;37.037562;-0.854
915;37.080251;-0.854
916;37.111737;-0.854
917;37.155182;-0.854
918;37.197415;-0.854
919;37.239883;-0.854
920;37.272346;-0.854
921;37.315762;-0.854
922;37.357678;-0.854
923;37.400498;-0.854
924;37.431919;-0.854
925;37.474716;-0.854
926;37.517316;-0.854
927;37.56021;-0.854
928;37.59643;-0.854
929;37.635297;-0.854
930;37.677138;-0.854
931;37.720149;-0.854
932;37.751941;-0.854
933;37.794366;-0.854
934;37.83866;-0.854
935;37.879754;-0.854
936;37.911768;-0.854
937;37.955509;-0.854
938;37.997368;-0.854
939;38.039977;-0.854
940;38.075881;-0.854
941;38.115371;-0.854
942;38.157548;-0.854
943;38.200049;-0.854
944;38.23276;-0.854
945;38.274809;-0.854
946;38.31795;-0.854
947;38.360261;-0.854
948;38.396008;-0.854
949;38.436937;-0.854
950;38.477752;-0.854
951;38.520327;-0.854
952;38.551956;-0.854
953;38.595173;-0.854
954;38.638105;-0.854
955;38.680477;-0.854
956;38.712475;-0.854
957;38.755288;-0.854
958;38.798101;-0.854
959;38.840978;-0.854
960;38.87194;-0.854
961;38.914633;-0.854
962;38.95821;-0.854
963;39.000322;-0.854
964;39.033031;-0.854
965;39.075302;-0.854
966;39.117568;-0.854
967;39.159779;-0.854
968;39.193136;-0.854
969;39.235355;-0.854
970;39.277724;-0.854
971;39.319956;-0.854
972;39.351903;-0.854
